Date,Adj Close
2019-12-02,3114
2019-12-03,3093
2019-12-04,3113
2019-12-05,3117
2019-12-06,3146
2019-12-09,3136
2019-12-10,3133
2019-12-11,3142
2019-12-12,3169
2019-12-13,3169
2019-12-16,3191
2019-12-17,3193
2019-12-18,3191
2019-12-19,3205
2019-12-20,3221
2019-12-23,3224
2019-12-24,3223
2019-12-26,3240
2019-12-27,3240
2019-12-30,3221
2019-12-31,3231
2020-01-02,3258
2020-01-03,3235
2020-01-06,3246
2020-01-07,3237
2020-01-08,3253
2020-01-09,3275
2020-01-10,3265
2020-01-13,3288
2020-01-14,3283
2020-01-15,3289
2020-01-16,3317
2020-01-17,3330
2020-01-21,3321
2020-01-22,3322
2020-01-23,3326
2020-01-24,3295
2020-01-27,3244
2020-01-28,3276
2020-01-29,3273
2020-01-30,3284
2020-01-31,3226
2020-02-03,3249
2020-02-04,3298
2020-02-05,3335
2020-02-06,3346
2020-02-07,3328
2020-02-10,3352
2020-02-11,3358
2020-02-12,3379
2020-02-13,3374
2020-02-14,3380
2020-02-18,3370
2020-02-19,3386
2020-02-20,3373
2020-02-21,3338
2020-02-24,3226
